"COLUMN_NAME","COMMENTS"
"F0152_011V","季度标识(1为1季度，2为2季度，3为3季度，4为4季度，5为前半年，6为后半年)"
"F0152_015N","营业收入"
"F0152_016N","利息净收入"
"F0152_017N","利息收入"
"F0152_018N","利息支出"
"F0152_019N","手续费及佣金净收入"
"F0152_020N","手续费及佣金收入"
"F0152_021N","手续费及佣金支出"
"F0152_022N","其中：代理买卖证券业务净收入"
"F0152_023N","其中：证券承销业务净收入　"
"F0152_024N","其中：委托客户资产管理业务净收入"
"F0152_025N","已赚保费"
"F0152_028N","减：分出保费"
"F0154_025N","赔付支出净额"
"F0154_026N","提取保险合同准备金净额"
"F0154_027N","保单红利支出"
"F0154_028N","分保费用"
"F0154_029N","营业税金及附加"
"F0154_030N","销售费用"
"F0154_031N","管理费用"
"F0154_032N","财务费用"
"F0154_033N","资产减值损失"
"F0154_034N","公允价值变动收益"
"F0154_035N","投资收益"
"F0154_036N","其中：对联营企业和合营企业的投资收益"
"F0154_037N","汇兑损益"
"F0154_038N","勘探费用"
"F0154_039N","营业利润"
"F0154_040N","加：营业外收入"
"F0154_041N","减：营业外支出"
"F0154_042N","其中：非流动资产处置损失"
"F0154_043N","利润总额"
"F0154_044N","减：所得税费用"
"F0154_045N","净利润"
"F0154_046N","归属于母公司所有者的净利润"
"F0154_047N","少数股东损益"
"F0154_048N","基本每股收益"
"F0154_049N","稀释每股收益"
"OB_SEQ_ID","序列号"
"F0154_001V","机构ID"
"F0154_002V","机构名称"
"F0154_003D","公告日期"
"F0154_004D","开始日期"
"F0154_005D","截止日期"
"F0154_006D","报告年度(yyyy-03-31为一季度,yyyy-06-30为中报,yyyy-09-30为三季报,yyyy-12-31为年报)"
"F0154_007V","合并类型编码"
"F0154_008V","合并类型(合并本期、合并上期、母公司本期、母公司上期)"
"F0154_009V","报表来源编码"
"F0154_010V","报表来源"
"F0154_011V","季度标识(1为1季度,2为2季度,3为3季度,4为4季度,5为前半年,6为后半年)"
"F0154_015N","营业总收入"
"F0154_016N","营业收入"
"F0154_017N","利息收入"
"F0154_018N","已赚保费"
"F0154_019N","手续费及佣金收入"
"F0154_020N","营业总成本"
"F0154_021N","营业成本"
"F0154_022N","利息支出"
"F0154_023N","手续费及佣金支出"
"F0154_024N","退保金"
"F0154_032N","财务费用"
"F0154_031N","管理费用"
"F0154_035N","投资收益"
"F0154_036N","其中：对联营企业和合营企业的投资收益"
"F0154_037N","汇兑损益"
"F0154_038N","勘探费用"
"F0154_039N","营业利润"
"F0154_040N","加：营业外收入"
"F0154_041N","减：营业外支出"
"F0154_042N","其中：非流动资产处置损失"
"F0154_043N","利润总额"
"F0154_044N","减：所得税费用"
"F0154_045N","净利润"
"F0154_046N","归属于母公司所有者的净利润"
"F0154_047N","少数股东损益"
"F0154_048N","基本每股收益"
"F0154_049N","稀释每股收益"
"OB_SEQ_ID","序列号"
"F0154_033N","资产减值损失"
"F0154_001V","机构ID"
"F0154_002V","机构名称"
"F0154_003D","公告日期"
"F0154_004D","开始日期"
"F0154_005D","截止日期"
"F0154_006D","报告年度(yyyy-03-31为一季度,yyyy-06-30为中报,yyyy-09-30为三季报,yyyy-12-31为年报)"
"F0154_007V","合并类型编码"
"F0154_008V","合并类型(合并本期、合并上期、母公司本期、母公司上期)"
"F0154_009V","报表来源编码"
"F0154_010V","报表来源"
"F0154_011V","季度标识(1为1季度,2为2季度,3为3季度,4为4季度,5为前半年,6为后半年)"
"F0154_015N","营业总收入"
"F0154_016N","营业收入"
"F0154_017N","利息收入"
"F0154_018N","已赚保费"
"F0154_019N","手续费及佣金收入"
"F0154_020N","营业总成本"
"F0154_021N","营业成本"
"F0154_022N","利息支出"
"F0154_023N","手续费及佣金支出"
"F0154_024N","退保金"
"F0154_025N","赔付支出净额"
"F0154_026N","提取保险合同准备金净额"
"F0154_027N","保单红利支出"
"F0154_028N","分保费用"
"F0154_029N","营业税金及附加"
"F0154_030N","销售费用"
"F0154_034N","公允价值变动收益"
"F0155_057N","筹资活动现金流入小计"
"F0155_058N","偿还债务支付的现金"
"F0155_059N","分配股利、利润或偿付利息支付的现金"
"F0155_060N","其中：子公司支付给少数股东的股利、利润"
"F0155_061N","支付其他与筹资活动有关的现金"
"F0155_062N","筹资活动现金流出小计"
"F0155_063N","筹资活动产生的现金流量净额"
"F0155_064N","汇率变动对现金及现金等价物的影响"
"F0155_065N","现金及现金等价物净增加额"
"F0155_066N","加：期初现金及现金等价物余额"
"F0155_067N","期末现金及现金等价物余额"
"F0155_068N","净利润"
"F0155_069N","加：资产减值准备"
"F0155_070N","固定资产折旧、油气资产折耗、生产性生物资产折旧"
"F0155_071N","无形资产摊销"
"F0155_072N","长期待摊费用摊销"
"F0155_073N","处置固定资产、无形资产和其他长期资产的损失"
"F0155_074N","固定资产报废损失"
"F0155_075N","公允价值变动损失"
"F0155_076N","财务费用"
"F0155_077N","投资损失"
"F0155_078N","递延所得税资产减少"
"F0155_079N","递延所得税负债增加"
"F0155_080N","存货的减少"
"F0155_081N","经营性应收项目的减少"
"F0155_082N","经营性应付项目的增加"
"F0155_083N","其他"
"F0155_084N","经营活动产生的现金流量净额2"
"F0155_085N","债务转为资本"
"F0155_086N","一年内到期的可转换公司债券"
"F0155_087N","融资租入固定资产"
"F0155_028N","购买商品、接受劳务支付的现金"
"F0155_092N","现金及现金等价物净增加额"
"F0155_001V","机构ID"
"F0155_002V","机构名称"
"F0155_003D","公告日期"
"F0155_004D","开始日期"
"F0155_005D","截止日期"
"F0155_006D","报告年度(yyyy-03-31为一季度,yyyy-06-30为中报,yyyy-09-30为三季报,yyyy-12-31为年报)"
"F0155_007V","合并类型编码"
"F0155_008V","合并类型(合并本期、合并上期、母公司本期、母公司上期)"
"F0155_009V","报表来源编码"
"F0155_010V","报表来源"
"F0155_011V","季度标识(1为1季度,2为2季度,3为3季度,4为4季度,5为前半年,6为后半年)"
"F0155_015N","销售商品、提供劳务收到的现金"
"F0155_016N","客户存款和同业存放款项净增加额"
"F0155_017N","向中央银行借款净增加额"
"F0155_018N","向其他金融机构拆入资金净增加额"
"F0155_019N","收到原保险合同保费取得的现金"
"F0155_020N","收到再保业务现金净额"
"F0155_021N","保户储金及投资款净增加额"
"F0155_022N","处置交易性金融资产净增加额"
"OB_SEQ_ID","序列号"
"F0155_023N","收取利息、手续费及佣金的现金"
"F0155_024N","回购业务资金净增加额"
"F0155_025N","收到的税费返还"
"F0155_026N","收到其他与经营活动有关的现金"
"F0155_027N","经营活动现金流入小计"
"F0155_029N","客户贷款及垫款净增加额"
"F0155_030N","存放中央银行和同业款项净增加额"
"F0155_031N","支付原保险合同赔付款项的现金"
"F0155_032N","支付利息、手续费及佣金的现金"
"F0155_033N","支付保单红利的现金"
"F0155_034N","支付给职工以及为职工支付的现金"
"F0155_035N","支付的各项税费"
"F0155_036N","支付其他与经营活动有关的现金"
"F0155_037N","经营活动现金流出小计"
"F0155_038N","经营活动产生的现金流量净额"
"F0155_039N","收回投资收到的现金"
